Timestamp,What kind of food do you prefer when you are angry?,Food choice when you are bored?,What do you feel like eating when you are lonely?,Food item preferred when you are happy?,What do you like to eat when you are sad?,What do you crave for?
2/5/2020 19:41:20,Soda,Chips/Cookies,Chocolates,Icecream,Don't eat anything,Pizza/Burger/Fries
2/5/2020 19:42:03,Icecream,Chips/Cookies,Chocolates,Pizza/Burger/Fries,Don't eat anything,Home food
2/5/2020 19:49:13,Chocolates,Chips/Cookies,Soda,Icecream,Don't eat anything,Chocolates
2/5/2020 19:49:27,Pizza/Burger/Fries,Pizza/Burger/Fries,Pizza/Burger/Fries,Pizza/Burger/Fries,Pizza/Burger/Fries,Chips/Cookies
2/5/2020 19:49:28,Soda,Chips/Cookies,Chocolates,Icecream,Don't eat anything,Pizza/Burger/Fries
2/5/2020 19:49:39,Chocolates,Pizza/Burger/Fries,Icecream,Pizza/Burger/Fries,Icecream,Pizza/Burger/Fries
2/5/2020 19:49:41,Chocolates,Chips/Cookies,Icecream,Pizza/Burger/Fries,Don't eat anything,Pizza/Burger/Fries
2/5/2020 19:50:24,Don't eat anything,Icecream,Pizza/Burger/Fries,Pizza/Burger/Fries,Don't eat anything,Icecream
2/5/2020 19:50:27,Icecream,Pizza/Burger/Fries,Chocolates,Chips/Cookies,Don't eat anything,Pizza/Burger/Fries
2/5/2020 19:50:52,Icecream,Pizza/Burger/Fries,Pizza/Burger/Fries,Pizza/Burger/Fries,Icecream,Icecream
2/5/2020 19:51:07,Don't eat anything,Chips/Cookies,Chocolates,Pizza/Burger/Fries,Soda,Everything
2/5/2020 19:51:44,Don't eat anything,Icecream,Chips/Cookies,Icecream,Don't eat anything,Don't eat anything
2/5/2020 19:52:06,Don't eat anything,Chips/Cookies,Icecream,Pizza/Burger/Fries,Icecream,Chips/Cookies
2/5/2020 19:53:57,Icecream,Chips/Cookies,Chocolates,Pizza/Burger/Fries,Don't eat anything,Biriyani
2/5/2020 19:54:09,Icecream,Pizza/Burger/Fries,Icecream,Pizza/Burger/Fries,Pizza/Burger/Fries,Don't eat anything
2/5/2020 19:54:35,Icecream,Soda,Chocolates,Chocolates,Don't eat anything,Chips/Cookies
2/5/2020 19:54:41,Icecream,Pizza/Burger/Fries,Chocolates,Chips/Cookies,Icecream,Pizza/Burger/Fries
2/5/2020 19:55:53,Pizza/Burger/Fries,Chips/Cookies,Chocolates,Don't eat anything,Icecream,Pizza/Burger/Fries
2/5/2020 19:55:59,Don't eat anything,Don't eat anything,Don't eat anything,Don't eat anything,Don't eat anything,Don't eat anything
2/5/2020 19:56:27,Chocolates,Pizza/Burger/Fries,Chips/Cookies,Icecream,Chocolates,Pizza/Burger/Fries
2/5/2020 19:56:39,Don't eat anything,Pizza/Burger/Fries,Icecream,Chocolates,Icecream,Continental
2/5/2020 19:57:17,Pizza/Burger/Fries,Pizza/Burger/Fries,Pizza/Burger/Fries,Soda,Icecream,Pizza/Burger/Fries
2/5/2020 19:57:41,Savoury ,Chocolates,Icecream,Pizza/Burger/Fries,Pizza/Burger/Fries,Pizza/Burger/Fries
